Team Number,Country,State,City,Postal Code,State Code,fips
5422,USA,Massachusetts,Westford,01886,MA,m25017
5424,USA,Michigan,Midland,48642,MI,"m26017,m26111"
5427,USA,Texas,Katy,77494,TX,"t48157,t48201,t48473"
5429,USA,Nevada,Las Vegas,89113,NV,n32003
5430,USA,California,Pittsburg,94565,CA,c06013
5431,USA,Texas,Plano,75075,TX,t48085
5434,USA,Minnesota,Faribault,55021,MN,"m27131,m27147"
5436,USA,Michigan,Rochester,48306,MI,"m26099,m26125"
5437,USA,Arkansas,Booneville,72927,AR,"a05083,a05127,a05131"
5438,USA,New Jersey,Jersey City,07302,NJ,n34017
5442,USA,Illinois,Washington,61571,IL,"i17179,i17203"
5448,USA,Michigan,Big Rapids,49307,MI,"m26107,m26123"
5450,USA,Oregon,Saint Helens,97051,OR,o41009
5454,USA,Arkansas,Rogers,72758,AR,a05007
5457,USA,New Jersey,Burlington,08016,NJ,n34005
5458,USA,California,Woodland,95695,CA,c06113
5459,USA,Massachusetts,Ipswich,01938,MA,m25009
5460,USA,Michigan,Lapeer,48446,MI,m26087
5461,USA,Idaho,Boise,83704,ID,i16001
5462,USA,Michigan,Paw Paw,49079,MI,m26159
5464,USA,Minnesota,Cambridge,55008,MN,"m27025,m27059"
5465,USA,Arizona,Chandler,85224,AZ,a04013
5467,USA,Michigan,Dearborn,48126,MI,m26163
5468,USA,Oregon,Bend,97703,OR,o41017
5470,USA,Michigan,Coopersville,49404,MI,"m26121,m26139"
5472,USA,Florida,Delray Beach,33484,FL,f12099
5473,USA,Michigan,Grand Rapids,49512,MI,m26081
5474,USA,California,San Diego,92117,CA,c06073
5477,USA,California,San Diego,92123,CA,c06073
5478,USA,Michigan,Detroit,48234,MI,m26163
5480,USA,Nevada,Reno,89509,NV,n32031
5482,USA,Georgia,Atlanta,30327,GA,g13121
5484,USA,Indiana,South Bend,46628,IN,i18141
5486,USA,Michigan,Lake Linden,49945,MI,"m26061,m26083"
5490,USA,Pennsylvania,Bethlehem,18020,PA,p42095
5491,USA,Massachusetts,Winchendon,01475,MA,m25027
5492,USA,Kentucky,Louisville,40208,KY,k21111
5493,USA,Colorado,Englewood,80113,CO,c08005
5494,USA,Massachusetts,Holbrook,02343,MA,m25021
5496,USA,California,Vacaville,95687,CA,c06095
5498,USA,Michigan,Grosse Ile,48138,MI,m26163
5499,USA,California,Berkeley,94704,CA,c06001
5500,USA,California,Long Beach,90810,CA,c06037
