County,Teams
c37161,"5727"
c48289,"4295"
c51620,"1610"
c51117,"1413"
c51115,"2363"
c47049,"4265,4462"
c51113,"4466"
c51111,"5954"
c47043,"7484"
c47041,"6846"
c47047,"5002"
c51119,"6312"
c47045,"7896"
c18169,"1501"
c18161,"3266"
c18163,"7454,7657"
c18165,"5188"
c18167,"5188"
c48281,"647"
c19151,"7309"
c51685,"1895,2068"
c51683,"1895"
c51680,"5279"
c38075,"877"
c38077,"4818,7048"
c38071,"877"
c38073,"4818,7048"
c39173,"6181"
c38079,"877"
c18015,"292,1646,7198"
c32003,"987,988,3009,5049,5429,6519,6824,6825,6957,7077,7183,7422,7423,7424,7425,7426,7654,7880"
c18017,"3940,5402"
c32001,"5875"
c18011,"868,1018,3176,7617"
c13279,"3998"
c18013,"3180,3494,4926"
c32005,"5875,7802"
c01035,"2556,5616"
c13275,"4240"
c01037,"3139"
c13277,"7499"
c01031,"2556,5722"
c13271,"6139"
c01033,"34,7111,7446"
c13273,"5840,6919"
c37017,"6729,7029"
c37015,"3796"
c36019,"6300,7030"
c37013,"2642"
c37011,"3984"
c36015,"3799"
c48345,"1817,4717,4734,5866,5888,6993"
c36017,"145"
c48347,"2582,4295"
c36011,"5254,6490"
c48341,"4694"
c36013,"7251"
c37019,"6512"
c47137,"3844"
c01101,"7072"
c01103,"538,3959"
c47135,"4306"
c01105,"590"
c01107,"590"
c01109,"5848"
c35011,"7271"
c47133,"4265,4462"
c21205,"7693"
c02105,"568"
c47131,"7255"
c02100,"568"
c46111,"3298"
c53059,"2471,2811,3674,6343"
c21207,"3844"
c53051,"4980,6076"
c53053,"360,2557,2906,2907,2927,2929,3218,3237,3393,6350"
c53055,"3238"
c53057,"3238,4173,4205"
c41071,"4043"
c56021,"5657"
c05023,"3937,6492,7766"
c05021,"7896"
c05027,"7899"
c05025,"7878"
c31125,"6359"
c05029,"6640,7123,7804"
c46119,"4593"
c48295,"4694"
c42079,"222,1143"
c42071,"2539"
c42073,"3062,3954,4049,5740"
c42075,"2539"
c42077,"834"
c13055,"4195"
c20199,"4386"
c13057,"832,1746,3815,4516,5608,6341,6944,7449,7451"
c13051,"4701,7104,7824"
c13053,"4188"
c20193,"4386"
c20191,"935"
c20197,"5968"
c13059,"5132"
c20195,"3172"
c13297,"5132,6910"
c13295,"5900,6887"
c48121,"3802,4192,5212,5411,6901,7303,7503"
c13291,"6899"
c48129,"4694"
c13299,"3329"
c48133,"4364"
c18171,"461,1747"
c02070,"568"
c48131,"6315,7521"
c18177,"3266"
c13281,"6899"
c13121,"832,1261,1414,1648,1683,1771,1795,2415,3091,4468,4516,4749,5109,5219,5482,5651,6023,6177,6325,6340,6705,6829,6905,6925,7427,7514"
c13123,"6712"
c13125,"7676"
c13127,"3329"
c13129,"5900"
c31121,"6359"
c29219,"1094,1288,1706,3330,4329,7435"
c29213,"16,323"
c29211,"4809"
c29217,"6542"
c29215,"6817"
c17119,"1208,4232,4246,4931"
c22063,"2080"
c22065,"456"
c22067,"7655,7910"
c22069,"7562"
c17113,"4213"
c17115,"4156,4314"
c17117,"4232"
c39139,"5413"
c25009,"1289,1474,1761,2084,4311,4929,5459,5556,5563,5752,7822"
c39133,"7486"
c25003,"6723"
c39131,"4085"
c25001,"23"
c39137,"3777"
c25007,"78,121"
c39135,"3266"
c25005,"88,4176,5846,6301"
c46019,"4593"
c46017,"3298"
c46015,"3298"
c31123,"5657"
c46011,"3298,4182"
c20175,"4694"
c29105,"3284,7662"
c54049,"2614"
c20171,"4386"
c29101,"4455,6424"
c12053,"4622,5842,6722"
c12051,"7519"
c54085,"7515"
c12057,"1369,2425,3164,5276,5283"
c29109,"5730"
c26103,"3617,4375,4827,7782,7816,7826"
c26101,"6097,6122,7855"
c26107,"5162,5448,6100,6102,6550,6963"
c26105,"6005,6128,6561,7160,7602"
c26109,"4970,5702,6079,6088,6113,6637"
c22119,"7899"
c48033,"3366"
c22115,"7562"
c08119,"2083,3729,4293,4418"
c22117,"2080"
c22111,"3468,7834,7874,7914"
c22113,"3616,4336"
c21155,"2856"
c21157,"6157"
c21151,"2856"
c21153,"7693"
c21159,"3821"
c48037,"6586"
c46129,"7578"
c46123,"4593"
c54045,"337"
c46127,"3298"
c46125,"3298"
c30093,"6400"
c30091,"877"
c30097,"6400"
c30095,"6400"
c40133,"2341,6464,6900"
c40131,"4523,7744"
c40137,"3931,5930"
c40135,"7106"
c38067,"876"
c19193,"7309"
c19191,"7646"
c19197,"525,7411"
c19195,"2957,3055,3633,6022"
c21021,"2856"
c21023,"554"
c21025,"7693"
c21027,"3559"
c21029,"5492,6858,7516"
c19175,"6419"
c19177,"6889"
c19171,"6630"
c19173,"7785"
c51760,"422,539,1080,2998,6334"
c37179,"3661"
c55079,"1675,1714,1732,1792,2506,2830,3596,4247,4786,6670,6823"
c37175,"1225"
c55075,"6624"
c37177,"7715"
c55077,"7915"
c37171,"5679"
c55071,"3381,4531,5586,7103,7619"
